day,time_from,time_to,subject,type,instructor,location
السبت,09:00,10:00,نظم دعم اتخاذ القرار,محاضرة,أ.م.د/ابراهيم العوضى عبد الحميد,مدرج C321
السبت,11:00,12:00,نظم تشغيل,سكشن,م/احمد هشام,معمل حاسب C126
الاحد,09:00,10:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C210
الاحد,09:00,10:00,تطوير البرمجيات,سكشن,م/جهاد زكريا,معمل C109
الاثنين,11:00,12:00,نظم ذكية,محاضرة,د/سارة صلاح محمد,مدرج C215
الاثنين,13:00,14:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C210
الثلاثاء,09:00,10:00,تطوير البرمجيات والممارسة المهنية,محاضرة,د/رشا محمود كامل,مدرج C321
الثلاثاء,11:00,12:00,البرمجة العنكبوتية,محاضرة,د/طارق محمد عبد القادر,قاعة درس C118
الثلاثاء,13:00,14:00,نظم التشغيل,محاضرة,أ.د خالد فتحي حسين,مدرج C221
الأربعاء,09:00,10:00,تطوير البرمجيات,سكشن,م/جهاد زكريا,معمل C109
الأربعاء,11:00,12:00,نظم تشغيل,سكشن,م/رضوى صالح,معمل حاسب C206
الأربعاء,13:00,14:00,معالجة الصور,محاضرة,د/رشا محمود كامل,قاعة درس C030
الأربعاء,15:00,16:00,معالجة الصور,سكشن,م/مصطفى اسامة,معمل حاسب C305
الخميس,09:00,10:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C126
الخميس,11:00,12:00,نظم ذكية,سكشن,م/الزهراء يوسف,معمل حاسب C125
الخميس,13:00,14:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C126
الخميس,13:00,14:00,نظم ذكية,سكشن,م/الزهراء يوسف,معمل حاسب C125
الخميس,15:00,16:00,البرمجة العنكبوتية,سكشن,م/اسعد نصرالله,معمل حاسب C122
الخميس,18:00,19:00,البرمجة العنكبوتية,محاضرة,د/طارق محمد عبد القادر,اونلاين
الخميس,19:00,20:00,نظم دعم اتخاذ القرار,محاضرة,أ.م.د/ابراهيم العوضى عبد الحميد,اونلاين
